name	population
AIN	603827
AISNE	541302
ALLIER	342729
ALPES-DE-HAUTE-PROVENCE	160959
HAUTES-ALPES	138605
ALPES-MARITIMES	1081244
ARDECHE	317277
ARDENNES	283110
ARIEGE	152286
AUBE	303997
AUDE	359967
AVEYRON	275813
BOUCHES-DU-RHONE	1975896
CALVADOS	685262
CANTAL	147577
CHARENTE	352705
CHARENTE-MARITIME	625682
CHER	311694
CORREZE	242454
CORSE-DU-SUD	145846
HAUTE-CORSE	168640
COTE-D'OR	525931
COTES-D'ARMOR	594375
CREUSE	122560
DORDOGNE	415168
DOUBS	529103
DROME	487993
EURE	588111
EURE-ET-LOIR	430416
FINISTERE	899870
GARD	718357
HAUTE-GARONNE	1260226
GERS	188893
GIRONDE	1463662
HERAULT	1062036
ILLE-ET-VILAINE	996439
INDRE	230175
INDRE-ET-LOIRE	593683
ISERE	1215212
JURA	 261294
LANDES	387929
LOIR-ET-CHER	331280
LOIRE	749053
HAUTE-LOIRE	224907
LOIRE-ATLANTIQUE	1296364
LOIRET	659587
LOT	174754
LOT-ET-GARONNE	330866
LOZERE	77156
MAINE-ET-LOIRE	790343
MANCHE	499531
MARNE	566571
HAUTE-MARNE	182375
MAYENNE	307031
MEURTHE-ET-MOSELLE	733124
MEUSE	193557
MORBIHAN	727083
MOSELLE	1045146
NIEVRE	218341
NORD	2579208
OISE	805642
ORNE	290891
PAS-DE-CALAIS	1462807
PUY-DE-DOME	635469
PYRENEES-ATLANTIQUES	656608
HAUTES-PYRENEES	229228
PYRENEES-ORIENTALES	452530
BAS-RHIN	1099269
HAUT-RHIN	753056
RHONE	1744236
HAUTE-SAONE	239695
SAONE-ET-LOIRE	555999
SARTHE	565718
SAVOIE	418949
HAUTE-SAVOIE	746994
PARIS	2249975
SEINE-MARITIME	1251282
SEINE-ET-MARNE	1338427
YVELINES	1413635
DEUX-SEVRES	370939
SOMME	571211
TARN	377675
TARN-ET-GARONNE	244545
VAR	1012735
VAUCLUSE	546630
VENDEE	641657
VIENNE	428447
HAUTE-VIENNE	376058
VOSGES	378830
YONNE	342463
TERRITOIREDEBELFORT	143348
ESSONNE	1225191
HAUTS-DE-SEINE	1581628
SEINE-SAINT-DENIS	1529928
VAL-DE-MARNE	1333702
VAL-D'OISE	1180365